        [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ],
        [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ],
        [ 0, 0, 0, 0, 0, 0, 0, 3, 4, 5, 8, 2, 3, 2, 4, 5, 0, 0, 0, 0, 0, 0, 0 ],
        [ 0, 0, 0, 0, 0, 5, 4, 9, 1, 1, 4, 8, 3, 4, 6, 6, 8, 4, 0, 0, 0, 0, 0 ],
        [ 0, 0, 0, 0, 8, 7, 1, 8, 9, 1, 6, 5, 8, 9, 7, 8, 4, 9, 9, 0, 0, 0, 0 ],
        [ 0, 0, 0, 2, 6, 9, 1, 1, 2, 1, 6, 6, 6, 8, 9, 1, 1, 1, 8, 2, 0, 0, 0 ],
        [ 0, 0, 0, 9, 1, 1, 8, 1, 8, 1, 3, 5, 2, 3, 2, 1, 8, 1, 1, 2, 0, 0, 0 ],
        [ 0, 0, 2, 7, 1, 1, 2, 3, 2, 3, 4, 3, 2, 1, 2, 1, 2, 1, 9, 5, 2, 0, 0 ],
        [ 0, 0, 3, 1, 7, 9, 1, 3, 4, 1, 4, 4, 1, 1, 9, 1, 1, 1, 1, 1, 4, 0, 0 ],
        [ 0, 0, 5, 1, 2, 1, 2, 3, 2, 5, 4, 5, 2, 1, 4, 1, 2, 1, 2, 1, 4, 0, 0 ],
        [ 0, 7, 9, 1, 2, 3, 1, 1, 4, 5, 4, 3, 4, 3, 2, 1, 2, 1, 2, 1, 3, 3, 0 ],
        [ 0, 6, 1, 1, 2, 1, 2, 3, 2, 1, 2, 3, 4, 6, 7, 1, 8, 3, 2, 1, 6, 7, 0 ],
        [ 0, 5, 8, 1, 2, 1, 1, 4, 5, 3, 5, 4, 2, 1, 2, 1, 1, 1, 1, 1, 8, 8, 0 ],
        [ 0, 0, 6, 1, 2, 1, 2, 3, 2, 3, 2, 1, 2, 4, 6, 1, 6, 5, 2, 1, 6, 0, 0 ],
        [ 0, 0, 3, 1, 1, 9, 8, 1, 8, 2, 4, 5, 1, 1, 9, 1, 8, 1, 6, 1, 6, 0, 0 ],
        [ 0, 0, 4, 7, 6, 1, 4, 5, 2, 3, 4, 1, 4, 1, 2, 1, 4, 1, 6, 4, 4, 0, 0 ],
        [ 0, 0, 0, 4, 1, 1, 1, 4, 2, 2, 2, 3, 2, 1, 1, 8, 2, 1, 7, 5, 0, 0, 0 ],
        [ 0, 0, 0, 9, 8, 9, 8, 1, 2, 1, 2, 1, 2, 1, 9, 1, 1, 1, 8, 9, 0, 0, 0 ],
        [ 0, 0, 0, 0, 2, 8, 1, 9, 1, 2, 1, 2, 1, 1, 7, 1, 9, 5, 6, 0, 0, 0, 0 ],
        [ 0, 0, 0, 0, 0, 2, 8, 7, 1, 1, 1, 5, 4, 1, 6, 5, 8, 3, 0, 0, 0, 0, 0 ],
        [ 0, 0, 0, 0, 0, 0, 0, 4, 6, 5, 3, 1, 9, 5, 4, 1, 0, 0, 0, 0, 0, 0, 0 ],
        [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ],
        [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ],
